512K, nccl, cuda:0, 4, 0.027403
1M, nccl, cuda:0, 4, 0.014195
10M, nccl, cuda:0, 4, 0.000207
50M, nccl, cuda:0, 4, 0.009116
100M, nccl, cuda:0, 4, 0.034653
500M, nccl, cuda:0, 4, 0.018318
1G, nccl, cuda:0, 4, 0.029466
512K, gloo, cpu, 4, 0.038204
1M, gloo, cpu, 4, 0.017150
10M, gloo, cpu, 4, 0.051922
50M, gloo, cpu, 4, 0.256674
100M, gloo, cpu, 4, 0.419399
500M, gloo, cpu, 4, 1.993260
1G, gloo, cpu, 4, 4.969418
512K, gloo, cuda:0, 4, 0.002817
1M, gloo, cuda:0, 4, 0.017298
10M, gloo, cuda:0, 4, 0.056063
50M, gloo, cuda:0, 4, 0.263156
100M, gloo, cuda:0, 4, 0.417919
500M, gloo, cuda:0, 4, 2.140272
1G, gloo, cuda:0, 4, 4.424456
